Station Name,Brand,County,ETIMS Status,Notes,Last Updated,Pump Type,Master IMEI,Slave IMEI,Pump Count,Fuel Types,Total Nozzles,Nozzles per Pump,Installation Date,Latitude,Longitude
"Ola Juja","Ola","Kiambu","not-started","","","","","",,"",,"","",-1.0984,37.0123
"Shell Kiambu Town","Shell","Kiambu","not-started","","","","","",,"",,"","",-1.1714,36.8356
"Total Meru","Total","Meru","not-started","","","","","",,"",,"","",0.0469,37.6503
"Shell Meru","Shell","Meru","not-started","","","","","",,"",,"","",0.0512,37.6556
"Ola Meru","Ola","Meru","not-started","","","","","",,"",,"","",0.0489,37.6534
"Rubis Meru","Rubis","Meru","not-started","","","","","",,"",,"","",0.0501,37.6489
"Total Nyeri","Total","Nyeri","not-started","","","","","",,"",,"","",-0.4197,36.9473
"Shell Nyeri","Shell","Nyeri","not-started","","","","","",,"",,"","",-0.4241,36.9534
"Rubis Nyeri","Rubis","Nyeri","not-started","","","","","",,"",,"","",-0.4223,36.9512
"Ola Nyeri","Ola","Nyeri","not-started","","","","","",,"",,"","",-0.4189,36.9501
"Total Machakos","Total","Machakos","not-started","","","","","",,"",,"","",-1.5177,37.2634
"Shell Machakos","Shell","Machakos","not-started","","","","","",,"",,"","",-1.5234,37.2589
"Ola Machakos","Ola","Machakos","not-started","","","","","",,"",,"","",-1.5198,37.2678
"Total Rongai","Total","Kajiado","not-started","","","","","",,"",,"","",-1.3912,36.7234
"Shell Ngong","Shell","Kajiado","not-started","","","","","",,"",,"","",-1.3523,36.6789
"Rubis Kitengela","Rubis","Kajiado","not-started","","","","","",,"",,"","",-1.4678,36.9534
"Total Kakamega","Total","Kakamega","not-started","","","","","",,"",,"","",0.2827,34.7519
"Shell Kakamega","Shell","Kakamega","not-started","","","","","",,"",,"","",0.2889,34.7556
"Ola Kakamega","Ola","Kakamega","not-started","","","","","",,"",,"","",0.2856,34.7489
"Total Githurai 45","Total","Nairobi ","live","2 pumps remaining, drilling required. Cabling for kerosene too","12/02/2026, 08:02:12","","","",,"",,"","",-1.2074638687221335,36.9346374429633
"Galana Malewa","Galana","Naivasha","live","Might need new motherboards but situation to be assessed by Dennis the technician ","19/02/2026, 13:13:49","","","",,"",,"","",-0.6697968609703423,36.325199793041676
"Ola Waiyaki Way","Ola","Nairobi ","live","","13/02/2026, 11:26:06","","","",,"",,"","",-1.2593300256314746,36.7798936718135
"Ola Kitale","Ola","Kitale","live","","13/02/2026, 11:28:37","","","",,"",,"","",1.0185074057027386,35.00202286061682
"Ola Lower Elgon","Ola","Kitale","live","","13/02/2026, 11:29:34","","","",,"",,"","",1.016793653174705,35.00052594208548
"Ola Otc","Ola","Nairobi ","live","","13/02/2026, 11:35:23","","","",,"",,"","",-1.2880149797352964,36.82871956706516
"Ola Tom Mboya","Ola","Nairobi ","live","","13/02/2026, 11:33:06","","","",,"",,"","",-1.288178665208437,36.82806872847122
"Ola Westlands","Ola","Nairobi ","live","","13/02/2026, 11:36:45","","","",,"",,"","",-1.2638784850055453,36.80305052414141
"Galana Embu","Galana","Embu","not-started","","01/03/2026, 20:14:20","","","",,"",,"","",-0.49129061451303024,37.46331641973133
"Shell Embu","Shell","Embu","not-started","","01/03/2026, 20:16:46","","","",,"",,"","",-0.536912161498486,37.45224286492397
"Ola Embu","Ola","Embu","not-started","","01/03/2026, 20:17:31","","","",,"",,"","",-0.5385751011666949,37.45421368220866
"Rubis Embu","Rubis","Embu","not-started","","01/03/2026, 20:18:05","","","",,"",,"","",-0.5394122148169737,37.45166098601247
"Embu shell","Shell","Embu","not-started","","01/03/2026, 20:18:45","","","",,"",,"","",-0.5421971665026633,37.454869443421586
"Embu Shell 3","Shell","Embu","not-started","","01/03/2026, 20:19:28","","","",,"",,"","",-0.5419039407042462,37.455445612849516
"Not sure ","Independent","Embu","not-started","","01/03/2026, 20:20:25","","","",,"",,"","",-0.5450857232974177,37.455762231472114
"Embu Rubis 2","Rubis","Embu","not-started","","01/03/2026, 20:21:09","","","",,"",,"","",-0.5339134186698035,37.45070833563485
"Astrol oil","Independent","Embu","not-started","","01/03/2026, 20:30:46","","","",,"",,"","",-0.5571105661359225,37.364396134790745
"Rubis Kutus","Rubis","Embu","not-started","","01/03/2026, 20:32:47","","","",,"",,"","",-0.56835845445718,37.320839519308365
"Total Runyenjes","Total","Embu","not-started","","01/03/2026, 20:44:38","","","",,"",,"","",-0.42534538507134745,37.57028741921232
"Shell Runyenjes ","Shell","Embu","not-started","","01/03/2026, 20:45:47","","","",,"",,"","",-0.4275742053460108,37.56965259052758
"Galana Nyahururu","Galana","Nyandarua","pending","","05/03/2026, 10:36:39","","","",,"",,"","",0.03481084017160694,36.36396288644875
"Galana Maua","Galana","Meru","pending","","05/03/2026, 13:00:44","","","",,"",,"","",0.2397526744543009,37.93931664321671
"Ola Nyahururu ","Ola","Nyandarua ","not-started","","05/03/2026, 13:26:21","","","",,"",,"","",0.03826813443405056,36.36336028740881
"Ola Nakuru ","Ola","Nakuru","not-started","","05/03/2026, 18:39:39","","","",,"",,"","",-0.2830346009751399,36.07304591306666
"Total Uthiru ","Total","Nairobi ","live","Fixed pc error","11/03/2026, 15:21:04","","","",,"",,"","",-1.2630018872380118,36.71906154222075
"LeadWay Uthiru ","Independent","Nairobi ","not-started","","11/03/2026, 15:20:42","","","",,"",,"","",-1.2607215936100482,36.717524503932665
"Ola Energy ","Ola","Nairobi ","not-started","","11/03/2026, 18:15:58","","","",,"",,"","",-1.2681719379071208,36.83372435308333
"Total Donhorm","Total","Nairobi ","not-started","","12/03/2026, 09:45:08","","","",,"",,"","",-1.3015592623407908,36.888030967147664
"Petrocam Machakos ","Independent","Machakos","not-started","","12/03/2026, 13:36:05","","","",,"",,"","",-1.5189150817398909,37.24127712568985
"Shell Mtituni","Shell","Machakos","not-started","","12/03/2026, 14:49:42","","","",,"",,"","",-1.459522875903937,37.250484896875086
"Total Mtituni","Total","Machakos ","not-started","","12/03/2026, 14:50:11","","","",,"",,"","",-1.4590428052033717,37.25023511047036
"Astrol MKS junction ","Independent","Machakos","not-started","","12/03/2026, 16:03:13","","","",,"",,"","",-1.535206916230027,37.13362691016097
"Shell Mlolongo","Shell","Machakos ","not-started","","12/03/2026, 16:30:53","","","",,"",,"","",-1.3954691313968808,36.93968432541097
"Astrol Mlolongo","Independent","Machakos ","not-started","","12/03/2026, 16:31:35","","","",,"",,"","",-1.3945579281724116,36.94056749995075
"Astrol Mlolongo ","Independent","Machakos ","not-started","","12/03/2026, 16:35:10","","","",,"",,"","",-1.3685768184154292,36.91683250510086
"Tosha Rongai","Tosha Petroleum","Kajiado","not-started","","14/03/2026, 17:58:14","Gilbarco","","",5,"Petrol; Diesel; Kerosene",9,"2","",-1.3907921,36.7668389
"Ola Rongai","Ola","Kajiado ","not-started","","14/03/2026, 18:01:04","Wayne","","",3,"Petrol; Diesel",,"","",-1.3897162498003441,36.767400583280654
"Petrocam Kayole","Petro","Nairobi ","pending","","24/03/2026, 14:38:55","Other","","",,"Petrol; Diesel; Kerosene",,"","",-1.2667783,36.915876
"Ola Bomet","Ola","Bomet","not-started","","27/03/2026, 09:07:28","Wayne","","",,"",,"","",-0.7805217,35.3423389
"Galana kisii","Galana","Kisii","not-started","","27/03/2026, 11:06:14","Wayne","","",4,"",,"","",-0.6660517,34.7613967
"Total Embassy ","Total","Kisii","pending","","27/03/2026, 13:28:37","Gilbarco","","",3,"Petrol; Diesel",9,"4","",-0.6434156,34.7543486
"Total Gesonso ","Total","Kisii","pending","","27/03/2026, 17:06:28","Tokheim","","",3,"Petrol; Diesel",6,"2","",-0.6620948838948677,34.74064966941056
